Source,Date,Title,Content,Name,Rating,Version
Razer Game Deals,14/12/2016,,Very sleek design and easy 2 use New app is good for non gamers as well. Providing a nice range of games and easy to use functionality. Razer Rocks!!,Some Things Handy,5,
Razer Game Deals,14/12/2016,,Too busy to keep track of deals. This is a wonderful app to find best deal for the games that I am interested in.,Chung-Wei Lee,5,
Razer Game Deals,14/12/2016,,"Helpful, looking forward to next gen Want the app to allow installation of pc games on my laptop when I select it from Deals on my phone.",John Wilson,4,
Razer Game Deals,14/12/2016,,Beautifully designed This is the best app ever... I dun have to go around hunting for game discount anymore!~~~!~!~,Anthony Siow,5,
Razer Game Deals,14/12/2016,,I really like the UI interface and be able to view deals while not on my computer is a great help.,Filament Snow,5,
Razer Game Deals,14/12/2016,,Makes buying games so much easier since it has all the deals from different platforms in one place.,Srinath Unnikrishnan,5,
Razer Game Deals,14/12/2016,,"Great,  love it! clean neat, tidy and user friendly, hassle free with everything you would need bargain discounts at a glance.",Liyi Lin,5,
Razer Game Deals,14/12/2016,,"Track and get all the deals. Can track your wishlist against multiple sites. Also sync you Steam, Gog accounts.",Sunshine Clouds,5,
Razer Game Deals,14/12/2016,,I'm now buying more games for less money!,Greg Breinholt,5,
Razer Game Deals,14/12/2016,,"Easy and convenient Its really user friendly,  and convenient. Have many option game to choose in one application",Catherine kusuma,5,
Razer Game Deals,14/12/2016,,"Great app,  The equivalent of Expedia or Skyscanner for gaming,  if there's a deal around this is the app to find it.",Jorge Gonzalez,5,
Razer Game Deals,14/12/2016,,Nice clean interface Helped me find the best deal for some of the games I was looking for.,Thomson Tat,5,
Razer Game Deals,14/12/2016,,The best All that I need in my phone right now.,daryl soon,5,
Razer Game Deals,14/12/2016,,Don't miss Don't miss another free game or discounted game opportunity!,leeyang lau,5,
Razer Game Deals,14/12/2016,,This is like a magical game sales finder. My new go-to for finding deals.,Mithun Chaubey,5,
Razer Game Deals,14/12/2016,,Great app Great UI. Easy to use. Now can get the best price for game.,Yvonne Nineteen,5,
Razer Game Deals,14/12/2016,,"Fun,  easy and clean interface It's amazing experience when browsing for games,  it's simple and easy",Thomas Chua,5,
Razer Game Deals,14/12/2016,,Makes my kokoro goes doki doki More like cortex bargains.,vincent tan,5,
Razer Game Deals,14/12/2016,,I like the new design. Old design sucks,Zoj De Guzman,5,
Razer Game Deals,14/12/2016,,Everything in one place Great app for scoping the best deals across the web.,Jake Chong,5,
Razer Game Deals,14/12/2016,,Save $$$ Awesome interface. It can really save you $$$. Die die must have leh.,sofian wijaya,5,
Razer Game Deals,14/12/2016,,awesome app to keep track of your games wishlist!,Reima,5,
Razer Game Deals,14/12/2016,,A great product that make gamers’ lives easier.,Hana Lam,4,
Razer Game Deals,14/12/2016,,A Trivago for gamers Best of all is the free games!,Rex Kwek,4,
Razer Game Deals,14/12/2016,,Very useful!!! Easily see all great deals for games.,Tan Kean Seng,5,
Razer Game Deals,14/12/2016,,Free or discounted games Great app to uncover free or discounted games!,Darren Chew,5,
Razer Game Deals,14/12/2016,,great app great deal really save your money,stam liang,5,
Razer Game Deals,14/12/2016,,Awesome Great place to look for the games,Mohamad Ahmadi,5,
Razer Game Deals,14/12/2016,,Great App Love the deals!,kushal tandon,5,
Razer Game Deals,14/12/2016,,Drinking the Kool Aid and enjoying it! Drinking the Kool Aid and enjoying it!,David Lim,5,
Razer Game Deals,13/12/2016,,Even for non gamers I myself dont ever play any video games but it was easy for even me to see the value of this application the moment i opened it. Many games that my friends love playing were here and better yet with fantastic deals!,Estelle Park,5,
Razer Game Deals,13/12/2016,,"Very convenient I'm quite busy between work and family and don't have much time anymore to look around for good gaming deals. Very handy,  now I can use commuting time or other breaks to keep my avid gamer side going�",Luca Di Fiore,5,
Razer Game Deals,13/12/2016,,Nicely done Smooth and does what it say it does. Cheap deals ftw! :D,Kenneth Lim,5,
Razer Game Deals,13/12/2016,,Redesigned and much faster Looks great and so smooth to use!,Vasco Vozone,5,
Razer Game Deals,13/12/2016,,"Convenience at your finger tips Getting the best deals on the go,  enough said.",Adrian Eng,5,
Razer Game Deals,13/12/2016,,Great Getting nice deals and very convenient to use. Fluent,Vishal Bhatia,5,
